Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,TotalTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt,NumCategories,SessionMode
07-09-2026,1,1,ShortGroup,4.00,0.3511,0.1499,0.5011,1,0,Right_0,Right_0,Right_0,1,0,None,1,2,alternate
07-09-2026,1,2,LongGroup,6.70,0.3345,1.1497,1.4842,1,0,Down_270,Down_270,Down_270,3,1,Right_0,1,2,alternate
07-09-2026,1,3,LongGroup,6.70,0.1342,0.3333,0.4676,1,0,Left_180,Left_180,Left_180,3,1,Down_270,1,2,alternate
07-09-2026,1,4,ShortGroup,5.70,0.2675,0.1667,0.4342,0,2,Left_180,Up_90,Up_90,3,1,Left_180,1,2,alternate
07-09-2026,1,5,LongGroup,7.80,0.2674,0.5004,0.7678,1,0,Down_270,Down_270,Down_270,3,0,Left_180,1,2,alternate
07-09-2026,1,6,LongGroup,6.70,0.3174,0.0844,0.4018,1,0,Right_0,Right_0,Right_0,3,1,Down_270,1,2,alternate
07-09-2026,1,7,ShortGroup,5.70,0.3508,0.4333,0.7842,0,2,Up_90,Left_180,Left_180,3,1,Right_0,1,2,alternate
07-09-2026,1,8,LongGroup,6.10,0.4509,1.4332,1.8840,0,2,Up_90,Down_270,Down_270,1,0,Up_90,1,2,alternate
07-09-2026,1,9,LongGroup,7.60,0.1509,0.2999,0.4508,1,0,Left_180,Left_180,Left_180,3,0,Up_90,1,2,alternate
07-09-2026,1,10,ShortGroup,5.10,0.3674,0.1506,0.5180,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,2,alternate
07-09-2026,1,11,ShortGroup,4.70,0.2675,1.2168,1.4842,1,0,Left_180,Left_180,Left_180,1,1,Right_0,1,2,alternate
07-09-2026,1,12,LongGroup,7.80,0.2678,0.0334,0.3012,1,0,Left_180,Left_180,Left_180,3,1,Left_180,1,2,alternate
07-09-2026,1,13,ShortGroup,4.70,0.3675,0.1334,0.5009,1,0,Up_90,Up_90,Up_90,1,1,Left_180,1,2,alternate
07-09-2026,1,14,LongGroup,6.10,0.3841,0.2001,0.5842,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
07-09-2026,1,15,ShortGroup,5.00,0.2508,0.1333,0.3841,1,0,Left_180,Left_180,Left_180,1,1,Up_90,1,2,alternate
07-09-2026,1,16,LongGroup,6.00,0.2675,0.1167,0.3842,1,0,Down_270,Down_270,Down_270,3,1,Left_180,1,2,alternate
07-09-2026,1,17,LongGroup,7.80,0.3175,0.3334,0.6509,0,2,Down_270,Right_0,Right_0,1,1,Down_270,1,2,alternate
07-09-2026,1,18,ShortGroup,5.10,0.3342,0.3000,0.6342,1,0,Down_270,Down_270,Down_270,1,0,Down_270,1,2,alternate
07-09-2026,1,19,ShortGroup,4.00,0.2841,0.4500,0.7342,0,2,Right_0,Down_270,Down_270,3,1,Down_270,1,2,alternate
07-09-2026,1,20,LongGroup,6.10,0.2676,0.6502,0.9178,1,0,Left_180,Left_180,Left_180,3,0,Right_0,1,2,alternate
07-09-2026,1,21,ShortGroup,4.70,0.5175,1.1002,1.6177,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1,2,alternate
07-09-2026,1,22,LongGroup,6.00,0.3509,0.1667,0.5176,1,0,Right_0,Right_0,Right_0,3,1,Down_270,1,2,alternate
07-09-2026,1,23,LongGroup,7.00,0.4008,0.1667,0.5676,1,0,Up_90,Up_90,Up_90,3,1,Right_0,1,2,alternate
07-09-2026,1,24,ShortGroup,5.10,0.4175,0.1000,0.5176,1,0,Up_90,Up_90,Up_90,1,1,Up_90,1,2,alternate
07-09-2026,1,25,ShortGroup,4.10,0.3841,0.1835,0.5676,1,0,Up_90,Up_90,Up_90,1,1,Up_90,1,2,alternate
07-09-2026,1,26,LongGroup,7.80,0.3177,0.0999,0.4175,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
07-09-2026,1,27,LongGroup,6.70,0.3842,0.1001,0.4843,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
07-09-2026,1,28,LongGroup,7.00,0.2842,0.0667,0.3509,0,2,Left_180,Down_270,Down_270,1,1,Up_90,1,2,alternate
07-09-2026,1,29,LongGroup,6.00,0.3508,0.5500,0.9009,1,0,Up_90,Up_90,Up_90,3,0,Left_180,1,2,alternate
07-09-2026,1,30,LongGroup,7.60,0.3009,0.3334,0.6342,1,0,Right_0,Right_0,Right_0,3,1,Up_90,1,2,alternate
07-09-2026,1,31,ShortGroup,4.10,0.3008,0.2001,0.5009,1,0,Down_270,Down_270,Down_270,1,1,Right_0,1,2,alternate
07-09-2026,1,32,ShortGroup,5.10,0.3009,0.3167,0.6176,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,2,alternate
07-09-2026,1,33,ShortGroup,4.10,0.2842,0.0667,0.3509,1,0,Left_180,Left_180,Left_180,1,1,Left_180,1,2,alternate
07-09-2026,1,34,ShortGroup,5.70,0.4175,0.1500,0.5675,0,2,Up_90,Down_270,Down_270,3,1,Left_180,1,2,alternate
07-09-2026,1,35,LongGroup,6.10,0.3007,0.9834,1.2842,1,0,Right_0,Right_0,Right_0,3,0,Up_90,1,2,alternate
07-09-2026,1,36,LongGroup,7.00,0.3342,0.4000,0.7342,0,2,Down_270,Right_0,Right_0,1,1,Right_0,1,2,alternate
07-09-2026,1,37,LongGroup,6.00,0.2842,0.5500,0.8342,1,0,Left_180,Left_180,Left_180,3,0,Down_270,1,2,alternate
07-09-2026,1,38,LongGroup,7.60,0.3508,0.1333,0.4841,1,0,Up_90,Up_90,Up_90,3,1,Left_180,1,2,alternate
07-09-2026,1,39,ShortGroup,5.00,0.3508,0.1334,0.4842,1,0,Up_90,Up_90,Up_90,1,1,Up_90,1,2,alternate
07-09-2026,1,40,ShortGroup,4.00,0.2842,0.0499,0.3341,1,0,Left_180,Left_180,Left_180,1,1,Up_90,1,2,alternate
07-09-2026,1,41,ShortGroup,4.00,0.3508,0.1334,0.4842,1,0,Up_90,Up_90,Up_90,1,1,Left_180,1,2,alternate
07-09-2026,1,42,LongGroup,7.60,0.2842,0.1667,0.4509,1,0,Down_270,Down_270,Down_270,3,1,Up_90,1,2,alternate
07-09-2026,1,43,ShortGroup,4.10,0.3675,0.2001,0.5675,1,0,Right_0,Right_0,Right_0,1,1,Down_270,1,2,alternate
07-09-2026,1,44,ShortGroup,5.00,0.3842,0.0834,0.4676,1,0,Right_0,Right_0,Right_0,1,1,Right_0,1,2,alternate
07-09-2026,1,45,ShortGroup,5.70,0.4009,0.1000,0.5009,1,0,Right_0,Right_0,Right_0,1,1,Right_0,1,2,alternate
07-09-2026,1,46,ShortGroup,4.70,0.3676,0.1001,0.4676,1,0,Right_0,Right_0,Right_0,1,1,Right_0,1,2,alternate
07-09-2026,1,47,LongGroup,7.00,0.2842,0.0334,0.3177,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1,2,alternate
07-09-2026,1,48,ShortGroup,5.00,0.2675,0.1166,0.3841,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1,2,alternate
07-09-2026,2,1,LongGroup,6.70,0.2841,0.2334,0.5175,1,0,Left_180,Left_180,Left_180,3,1,Down_270,1,2,alternate
07-09-2026,2,2,ShortGroup,4.10,0.3842,0.1334,0.5175,1,0,Up_90,Up_90,Up_90,1,1,Left_180,1,2,alternate
07-09-2026,2,3,ShortGroup,4.10,0.3675,0.1001,0.4675,1,0,Right_0,Right_0,Right_0,1,1,Up_90,1,2,alternate
07-09-2026,2,4,ShortGroup,5.00,0.2842,0.1167,0.4009,1,0,Down_270,Down_270,Down_270,1,1,Right_0,1,2,alternate
07-09-2026,2,5,ShortGroup,5.10,0.2842,0.0834,0.3676,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,2,alternate
07-09-2026,2,6,LongGroup,6.10,0.2342,0.6834,0.9175,1,0,Down_270,Down_270,Down_270,3,1,Left_180,1,2,alternate
07-09-2026,2,7,ShortGroup,4.70,0.2507,0.4835,0.7342,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,2,alternate
07-09-2026,2,8,LongGroup,6.00,0.3341,0.3335,0.6676,1,0,Up_90,Up_90,Up_90,3,1,Left_180,1,2,alternate
07-09-2026,2,9,ShortGroup,5.70,0.3174,0.0835,0.4009,0,2,Right_0,Up_90,Up_90,3,1,Up_90,1,2,alternate
07-09-2026,2,10,LongGroup,6.10,0.3675,0.2000,0.5675,1,0,Up_90,Up_90,Up_90,3,0,Right_0,1,2,alternate
07-09-2026,2,11,LongGroup,7.60,0.3341,0.1169,0.4509,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
07-09-2026,2,12,LongGroup,7.80,0.2842,0.0500,0.3341,1,0,Left_180,Left_180,Left_180,3,1,Up_90,1,2,alternate
