BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct
1,4.0000,ShortGroup,Right_0,7,7,100.0000
1,4.0000,ShortGroup,Up_90,8,8,100.0000
1,4.0000,ShortGroup,Left_180,8,8,100.0000
1,4.0000,ShortGroup,Down_270,8,8,100.0000
2,4.1000,ShortGroup,Right_0,7,7,100.0000
2,4.1000,ShortGroup,Up_90,7,7,100.0000
2,4.1000,ShortGroup,Left_180,7,7,100.0000
2,4.1000,ShortGroup,Down_270,8,8,100.0000
3,4.7000,ShortGroup,Right_0,5,7,71.4286
3,4.7000,ShortGroup,Up_90,3,6,50.0000
3,4.7000,ShortGroup,Left_180,6,7,85.7143
3,4.7000,ShortGroup,Down_270,4,7,57.1429
4,5.0000,ShortGroup,Right_0,5,8,62.5000
4,5.0000,ShortGroup,Up_90,3,7,42.8571
4,5.0000,ShortGroup,Left_180,4,7,57.1429
4,5.0000,ShortGroup,Down_270,3,7,42.8571
5,5.1000,MidGroup,Right_0,6,7,85.7143
5,5.1000,MidGroup,Up_90,8,8,100.0000
5,5.1000,MidGroup,Left_180,7,8,87.5000
5,5.1000,MidGroup,Down_270,6,7,85.7143
6,5.7000,MidGroup,Right_0,6,8,75.0000
6,5.7000,MidGroup,Up_90,6,8,75.0000
6,5.7000,MidGroup,Left_180,7,7,100.0000
6,5.7000,MidGroup,Down_270,5,6,83.3333
7,6.0000,MidGroup,Right_0,4,7,57.1429
7,6.0000,MidGroup,Up_90,5,8,62.5000
7,6.0000,MidGroup,Left_180,6,8,75.0000
7,6.0000,MidGroup,Down_270,6,8,75.0000
8,6.1000,MidGroup,Right_0,4,7,57.1429
8,6.1000,MidGroup,Up_90,5,8,62.5000
8,6.1000,MidGroup,Left_180,4,7,57.1429
8,6.1000,MidGroup,Down_270,4,7,57.1429
9,6.7000,LongGroup,Right_0,8,8,100.0000
9,6.7000,LongGroup,Up_90,6,7,85.7143
9,6.7000,LongGroup,Left_180,6,7,85.7143
9,6.7000,LongGroup,Down_270,8,8,100.0000
10,7.0000,LongGroup,Right_0,8,8,100.0000
10,7.0000,LongGroup,Up_90,7,8,87.5000
10,7.0000,LongGroup,Left_180,7,7,100.0000
10,7.0000,LongGroup,Down_270,7,7,100.0000
11,7.6000,LongGroup,Right_0,7,7,100.0000
11,7.6000,LongGroup,Up_90,6,7,85.7143
11,7.6000,LongGroup,Left_180,7,7,100.0000
11,7.6000,LongGroup,Down_270,8,8,100.0000
12,7.8000,LongGroup,Right_0,8,8,100.0000
12,7.8000,LongGroup,Up_90,8,8,100.0000
12,7.8000,LongGroup,Left_180,7,8,87.5000
12,7.8000,LongGroup,Down_270,7,7,100.0000
