Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,ReactionTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt,NumCategories,SessionMode
01-09-2026,1,1,LongGroup,7.80,0.2842,0.0342,0.3184,1,0,Left_180,Left_180,Left_180,3,0,None,1,3,3cat
01-09-2026,1,2,MidGroup,6.10,0.2843,0.0334,0.3177,1,0,Left_180,Left_180,Left_180,2,1,Left_180,1,3,3cat
01-09-2026,1,3,LongGroup,7.80,0.3176,0.1001,0.4176,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1,3,3cat
01-09-2026,1,4,ShortGroup,4.00,0.5008,0.1500,0.6509,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1,3,3cat
01-09-2026,1,5,LongGroup,7.80,0.4175,0.1668,0.5843,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,3,3cat
01-09-2026,1,6,ShortGroup,5.00,0.3675,0.1834,0.5509,0,2,Up_90,Right_0,Right_0,2,1,Up_90,1,3,3cat
01-09-2026,1,7,MidGroup,6.00,0.3842,0.2670,0.6511,1,0,Up_90,Up_90,Up_90,2,0,Up_90,1,3,3cat
01-09-2026,1,8,LongGroup,7.00,0.3008,0.1002,0.4011,1,0,Right_0,Right_0,Right_0,3,1,Up_90,1,3,3cat
01-09-2026,1,9,ShortGroup,4.70,0.3179,1.0496,1.3675,0,2,Up_90,Right_0,Right_0,2,1,Right_0,1,3,3cat
01-09-2026,1,10,MidGroup,5.70,0.3508,0.3001,0.6509,1,0,Up_90,Up_90,Up_90,2,0,Up_90,1,3,3cat
01-09-2026,1,11,MidGroup,6.10,0.4008,0.2669,0.6677,1,0,Up_90,Up_90,Up_90,2,1,Up_90,1,3,3cat
01-09-2026,1,12,LongGroup,7.00,0.4175,0.5170,0.9345,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,3,3cat
01-09-2026,1,13,ShortGroup,4.00,0.3175,0.0339,0.3514,1,0,Left_180,Left_180,Left_180,1,1,Up_90,1,3,3cat
01-09-2026,1,14,MidGroup,5.70,0.2844,0.0338,0.3182,1,0,Left_180,Left_180,Left_180,2,1,Left_180,1,3,3cat
