BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct,MeanRT_s
1,4.0000,ShortGroup,Right_0,5,5,100.0000,0.4242
1,4.0000,ShortGroup,Up_90,6,6,100.0000,0.6563
1,4.0000,ShortGroup,Left_180,5,5,100.0000,0.2975
1,4.0000,ShortGroup,Down_270,5,5,100.0000,0.3641
2,4.1000,ShortGroup,Right_0,5,5,100.0000,0.4308
2,4.1000,ShortGroup,Up_90,5,5,100.0000,0.5109
2,4.1000,ShortGroup,Left_180,5,5,100.0000,0.3509
2,4.1000,ShortGroup,Down_270,6,6,100.0000,0.3703
3,4.7000,ShortGroup,Right_0,1,5,20.0000,0.3675
3,4.7000,ShortGroup,Up_90,2,6,33.3333,0.4175
3,4.7000,ShortGroup,Left_180,0,5,0.0000,NaN
3,4.7000,ShortGroup,Down_270,2,5,40.0000,0.3758
4,5.0000,ShortGroup,Right_0,0,5,0.0000,NaN
4,5.0000,ShortGroup,Up_90,0,5,0.0000,NaN
4,5.0000,ShortGroup,Left_180,1,5,20.0000,0.3175
4,5.0000,ShortGroup,Down_270,2,5,40.0000,0.3675
5,5.1000,MidGroup,Right_0,4,4,100.0000,0.3883
5,5.1000,MidGroup,Up_90,3,4,75.0000,0.3397
5,5.1000,MidGroup,Left_180,5,5,100.0000,0.3375
5,5.1000,MidGroup,Down_270,6,6,100.0000,0.3508
6,5.7000,MidGroup,Right_0,4,5,80.0000,0.3884
6,5.7000,MidGroup,Up_90,4,5,80.0000,0.3883
6,5.7000,MidGroup,Left_180,5,5,100.0000,0.3275
6,5.7000,MidGroup,Down_270,5,5,100.0000,0.3075
7,6.0000,MidGroup,Right_0,4,5,80.0000,0.3633
7,6.0000,MidGroup,Up_90,4,5,80.0000,0.3883
7,6.0000,MidGroup,Left_180,5,5,100.0000,0.2942
7,6.0000,MidGroup,Down_270,3,5,60.0000,0.3175
8,6.1000,MidGroup,Right_0,4,5,80.0000,0.3591
8,6.1000,MidGroup,Up_90,3,6,50.0000,0.2841
8,6.1000,MidGroup,Left_180,4,5,80.0000,0.2969
8,6.1000,MidGroup,Down_270,5,6,83.3333,0.3408
9,6.7000,LongGroup,Right_0,4,4,100.0000,0.3385
9,6.7000,LongGroup,Up_90,5,5,100.0000,0.4642
9,6.7000,LongGroup,Left_180,4,5,80.0000,0.2841
9,6.7000,LongGroup,Down_270,5,5,100.0000,0.3075
10,7.0000,LongGroup,Right_0,5,5,100.0000,0.3474
10,7.0000,LongGroup,Up_90,3,5,60.0000,0.3897
10,7.0000,LongGroup,Left_180,6,6,100.0000,0.3286
10,7.0000,LongGroup,Down_270,4,4,100.0000,0.2966
11,7.6000,LongGroup,Right_0,5,5,100.0000,0.3675
11,7.6000,LongGroup,Up_90,5,6,83.3333,0.4374
11,7.6000,LongGroup,Left_180,5,5,100.0000,0.3275
11,7.6000,LongGroup,Down_270,6,6,100.0000,0.3036
12,7.8000,LongGroup,Right_0,6,6,100.0000,0.3564
12,7.8000,LongGroup,Up_90,5,5,100.0000,0.3875
12,7.8000,LongGroup,Left_180,6,6,100.0000,0.3064
12,7.8000,LongGroup,Down_270,5,5,100.0000,0.3176
