Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,TotalTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt
20-08-2026,1,1,LongGroup,6.70,0.0177,1.1670,1.1847,0,2,Up_90,Down_270,Down_270,2,0,None,1
20-08-2026,1,2,MidGroup,6.10,0.5187,0.5489,1.0676,0,2,Left_180,Right_0,Right_0,3,0,Up_90,1
20-08-2026,1,3,LongGroup,6.70,0.0513,0.8497,0.9009,1,0,Up_90,Up_90,Up_90,3,0,Left_180,1
20-08-2026,1,4,ShortGroup,5.00,0.3841,1.4334,1.8175,0,2,Up_90,Left_180,Left_180,2,1,Up_90,1
20-08-2026,1,5,MidGroup,6.00,0.2009,0.7167,0.9175,1,0,Left_180,Left_180,Left_180,2,0,Up_90,1
20-08-2026,1,6,ShortGroup,4.00,0.1008,0.4668,0.5676,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1
20-08-2026,1,7,MidGroup,6.10,0.1676,0.4000,0.5676,1,0,Left_180,Left_180,Left_180,2,1,Right_0,1
20-08-2026,1,8,ShortGroup,4.70,0.4341,0.6168,1.0509,0,2,Right_0,Up_90,Up_90,2,1,Left_180,1
20-08-2026,1,9,MidGroup,6.10,0.3175,1.3833,1.7009,0,2,Left_180,Up_90,Up_90,1,0,Right_0,1
20-08-2026,1,10,MidGroup,6.00,0.3341,0.7001,1.0342,1,0,Down_270,Down_270,Down_270,2,0,Left_180,1
20-08-2026,1,11,LongGroup,6.70,0.1509,0.6333,0.7842,1,0,Right_0,Right_0,Right_0,3,1,Down_270,1
20-08-2026,1,12,ShortGroup,5.00,0.2009,0.3833,0.5842,0,2,Up_90,Right_0,Right_0,2,1,Right_0,1
20-08-2026,1,13,ShortGroup,5.00,0.1176,0.6667,0.7843,0,2,Left_180,Down_270,Down_270,2,0,Up_90,1
20-08-2026,1,16,ShortGroup,4.00,0.8842,NaN,NaN,0,1,None,Down_270,Down_270,-1,0,Left_180,1
20-08-2026,1,17,LongGroup,7.60,0.4508,1.3334,1.7842,1,0,Right_0,Right_0,Right_0,3,0,None,1
20-08-2026,1,18,MidGroup,6.00,0.1509,0.3500,0.5009,1,0,Right_0,Right_0,Right_0,2,1,Right_0,1
20-08-2026,1,19,MidGroup,5.70,0.2342,0.2167,0.4509,1,0,Down_270,Down_270,Down_270,2,1,Right_0,1
20-08-2026,1,20,MidGroup,5.10,0.1009,0.4667,0.5676,1,0,Left_180,Left_180,Left_180,2,1,Down_270,1
20-08-2026,1,22,MidGroup,5.10,0.4008,0.4167,0.8175,1,0,Right_0,Right_0,Right_0,2,1,Left_180,1
20-08-2026,1,23,LongGroup,7.80,0.1508,0.1835,0.3343,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1
20-08-2026,1,24,ShortGroup,5.00,0.2842,0.1166,0.4008,0,2,Left_180,Up_90,Up_90,2,1,Left_180,1
20-08-2026,1,25,LongGroup,7.00,0.4007,0.7002,1.1009,1,0,Right_0,Right_0,Right_0,3,0,Left_180,1
20-08-2026,1,26,ShortGroup,4.70,0.2175,0.4001,0.6176,0,2,Right_0,Down_270,Down_270,2,1,Right_0,1
20-08-2026,1,27,MidGroup,5.70,0.3841,0.7001,1.0842,1,0,Left_180,Left_180,Left_180,2,0,Right_0,1
20-08-2026,1,28,ShortGroup,4.10,0.2008,0.1001,0.3009,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1
20-08-2026,1,29,LongGroup,7.80,0.2176,0.0667,0.2843,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1
20-08-2026,1,30,ShortGroup,4.00,0.2842,0.1333,0.4175,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1
20-08-2026,1,31,ShortGroup,4.10,0.2675,0.0501,0.3176,1,0,Left_180,Left_180,Left_180,1,1,Left_180,1
20-08-2026,1,32,MidGroup,6.10,0.2674,0.3501,0.6175,1,0,Down_270,Down_270,Down_270,2,1,Left_180,1
20-08-2026,1,33,ShortGroup,4.70,0.4344,0.2832,0.7176,0,2,Up_90,Left_180,Left_180,2,1,Down_270,1
20-08-2026,1,34,LongGroup,7.80,0.5175,0.2833,0.8009,1,0,Up_90,Up_90,Up_90,3,0,Up_90,1
20-08-2026,1,35,LongGroup,7.60,0.2176,0.4167,0.6342,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1
20-08-2026,1,36,LongGroup,6.70,0.3842,0.1834,0.5676,0,2,Up_90,Left_180,Left_180,2,1,Up_90,1
20-08-2026,1,37,LongGroup,7.60,0.4009,0.7666,1.1675,1,0,Down_270,Down_270,Down_270,3,0,Up_90,1
20-08-2026,1,39,LongGroup,7.00,0.3675,0.3167,0.6842,0,2,Left_180,Up_90,Up_90,2,1,Down_270,1
20-08-2026,1,40,LongGroup,7.00,0.4009,0.8666,1.2675,1,0,Left_180,Left_180,Left_180,3,0,Left_180,1
20-08-2026,1,41,MidGroup,5.10,0.3009,0.3334,0.6342,1,0,Down_270,Down_270,Down_270,2,1,Left_180,1
20-08-2026,1,42,ShortGroup,4.10,0.2675,0.2334,0.5009,1,0,Up_90,Up_90,Up_90,1,1,Down_270,1
20-08-2026,1,43,MidGroup,5.10,0.3009,0.5333,0.8342,1,0,Up_90,Up_90,Up_90,2,1,Up_90,1
20-08-2026,1,44,LongGroup,7.80,0.3508,0.0668,0.4176,1,0,Right_0,Right_0,Right_0,3,1,Up_90,1
20-08-2026,1,45,ShortGroup,4.00,0.3675,0.1167,0.4842,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1
20-08-2026,1,46,ShortGroup,4.10,0.3342,0.0667,0.4009,1,0,Right_0,Right_0,Right_0,1,1,Up_90,1
20-08-2026,1,47,MidGroup,6.00,0.3509,0.7834,1.1342,1,0,Up_90,Up_90,Up_90,2,1,Right_0,1
20-08-2026,1,48,LongGroup,7.60,0.3342,0.0334,0.3676,1,0,Left_180,Left_180,Left_180,3,1,Up_90,1
20-08-2026,2,1,LongGroup,7.60,0.3175,0.0501,0.3676,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1
20-08-2026,2,2,MidGroup,5.70,0.3342,0.2834,0.6176,1,0,Up_90,Up_90,Up_90,2,1,Right_0,1
20-08-2026,2,3,MidGroup,6.10,0.2841,0.4667,0.7509,1,0,Up_90,Up_90,Up_90,2,1,Up_90,1
20-08-2026,2,4,MidGroup,5.70,0.2842,0.4834,0.7676,1,0,Down_270,Down_270,Down_270,2,1,Up_90,1
20-08-2026,2,5,ShortGroup,4.70,0.5509,1.0500,1.6009,0,2,Right_0,Up_90,Up_90,2,1,Down_270,1
20-08-2026,2,6,ShortGroup,4.00,0.2841,0.0335,0.3176,1,0,Left_180,Left_180,Left_180,1,0,Right_0,1
20-08-2026,2,7,ShortGroup,4.00,0.2342,0.1000,0.3342,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1
20-08-2026,2,8,LongGroup,7.80,0.2842,0.1000,0.3842,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1
20-08-2026,2,9,ShortGroup,4.10,0.4175,0.1667,0.5842,1,0,Up_90,Up_90,Up_90,1,1,Down_270,1
20-08-2026,2,10,ShortGroup,5.00,0.2342,0.3334,0.5676,0,2,Right_0,Left_180,Left_180,2,1,Up_90,1
20-08-2026,2,11,LongGroup,7.80,0.4675,1.3000,1.7675,1,0,Right_0,Right_0,Right_0,3,0,Right_0,1
20-08-2026,2,12,MidGroup,5.70,0.2175,0.2334,0.4509,1,0,Right_0,Right_0,Right_0,2,1,Right_0,1
