BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct,MeanRT_s
1,4.0000,ShortGroup,Right_0,6,6,100.0000,0.4064
1,4.0000,ShortGroup,Up_90,7,7,100.0000,0.4199
1,4.0000,ShortGroup,Left_180,6,6,100.0000,0.2592
1,4.0000,ShortGroup,Down_270,7,7,100.0000,0.2984
2,4.1000,ShortGroup,Right_0,7,7,100.0000,0.4294
2,4.1000,ShortGroup,Up_90,7,7,100.0000,0.4318
2,4.1000,ShortGroup,Left_180,6,6,100.0000,0.3064
2,4.1000,ShortGroup,Down_270,6,6,100.0000,0.2925
3,4.7000,ShortGroup,Right_0,6,7,85.7143,0.4536
3,4.7000,ShortGroup,Up_90,5,7,71.4286,0.4108
3,4.7000,ShortGroup,Left_180,4,7,57.1429,0.3342
3,4.7000,ShortGroup,Down_270,6,6,100.0000,0.2842
4,5.0000,ShortGroup,Right_0,4,6,66.6667,0.4259
4,5.0000,ShortGroup,Up_90,2,7,28.5714,0.4258
4,5.0000,ShortGroup,Left_180,5,7,71.4286,0.3009
4,5.0000,ShortGroup,Down_270,4,7,57.1429,0.3260
5,5.1000,MidGroup,Right_0,3,7,42.8571,0.3564
5,5.1000,MidGroup,Up_90,5,7,71.4286,0.3175
5,5.1000,MidGroup,Left_180,2,7,28.5714,0.3758
5,5.1000,MidGroup,Down_270,3,7,42.8571,0.3397
6,5.7000,MidGroup,Right_0,5,7,71.4286,0.4708
6,5.7000,MidGroup,Up_90,4,6,66.6667,0.3843
6,5.7000,MidGroup,Left_180,6,7,85.7143,0.3675
6,5.7000,MidGroup,Down_270,5,6,83.3333,0.2875
7,6.0000,MidGroup,Right_0,7,7,100.0000,0.3960
7,6.0000,MidGroup,Up_90,6,7,85.7143,0.3786
7,6.0000,MidGroup,Left_180,5,6,83.3333,0.3175
7,6.0000,MidGroup,Down_270,6,6,100.0000,0.3259
8,6.1000,MidGroup,Right_0,7,7,100.0000,0.3652
8,6.1000,MidGroup,Up_90,6,7,85.7143,0.3425
8,6.1000,MidGroup,Left_180,4,7,57.1429,0.2841
8,6.1000,MidGroup,Down_270,5,6,83.3333,0.3275
9,6.7000,LongGroup,Right_0,2,6,33.3333,0.3758
9,6.7000,LongGroup,Up_90,4,6,66.6667,0.3217
9,6.7000,LongGroup,Left_180,3,6,50.0000,0.4730
9,6.7000,LongGroup,Down_270,2,7,28.5714,0.3008
10,7.0000,LongGroup,Right_0,5,7,71.4286,0.3308
10,7.0000,LongGroup,Up_90,5,6,83.3333,0.3909
10,7.0000,LongGroup,Left_180,4,7,57.1429,0.3633
10,7.0000,LongGroup,Down_270,6,7,85.7143,0.2647
11,7.6000,LongGroup,Right_0,6,7,85.7143,0.3453
11,7.6000,LongGroup,Up_90,7,7,100.0000,0.4153
11,7.6000,LongGroup,Left_180,7,7,100.0000,0.3104
11,7.6000,LongGroup,Down_270,6,6,100.0000,0.2814
12,7.8000,LongGroup,Right_0,7,7,100.0000,0.3176
12,7.8000,LongGroup,Up_90,6,7,85.7143,0.3481
12,7.8000,LongGroup,Left_180,7,7,100.0000,0.3152
12,7.8000,LongGroup,Down_270,5,6,83.3333,0.2810
