Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,ReactionTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt,NumCategories,SessionMode
31-08-2026,1,1,MidGroup,5.10,0.3507,0.2173,0.5680,1,0,Up_90,Up_90,Up_90,2,0,None,1,3,3cat
31-08-2026,1,2,MidGroup,6.10,0.2842,0.1337,0.4179,1,0,Right_0,Right_0,Right_0,2,1,Up_90,1,3,3cat
31-08-2026,1,3,ShortGroup,5.00,0.3009,0.2833,0.5842,0,2,Up_90,Down_270,Down_270,2,1,Right_0,1,3,3cat
31-08-2026,1,4,MidGroup,6.00,0.1675,0.3671,0.5347,0,2,Left_180,Down_270,Down_270,3,0,Up_90,1,3,3cat
31-08-2026,1,5,ShortGroup,4.70,0.4008,0.1333,0.5341,1,0,Up_90,Up_90,Up_90,1,0,Left_180,1,3,3cat
31-08-2026,1,6,MidGroup,5.70,0.3175,0.0334,0.3509,1,0,Left_180,Left_180,Left_180,2,1,Up_90,1,3,3cat
31-08-2026,1,7,LongGroup,7.60,0.2674,0.1336,0.4010,1,0,Down_270,Down_270,Down_270,3,1,Left_180,1,3,3cat
31-08-2026,1,8,ShortGroup,4.00,0.3508,0.1001,0.4509,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,3,3cat
31-08-2026,1,9,MidGroup,6.00,0.3341,0.0335,0.3676,1,0,Left_180,Left_180,Left_180,2,1,Left_180,1,3,3cat
31-08-2026,1,10,LongGroup,7.60,0.2842,0.0834,0.3675,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1,3,3cat
31-08-2026,1,11,ShortGroup,5.00,0.3841,0.2335,0.6176,0,2,Down_270,Right_0,Right_0,2,1,Right_0,1,3,3cat
31-08-2026,1,12,LongGroup,7.80,0.3508,0.0500,0.4009,1,0,Right_0,Right_0,Right_0,3,0,Down_270,1,3,3cat
31-08-2026,1,13,LongGroup,7.80,0.3176,0.8500,1.1676,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1,3,3cat
31-08-2026,1,14,ShortGroup,5.00,0.3509,0.4504,0.8013,0,2,Up_90,Left_180,Left_180,2,1,Left_180,1,3,3cat
31-08-2026,1,15,ShortGroup,4.00,0.3342,0.0501,0.3843,1,0,Right_0,Right_0,Right_0,1,0,Up_90,1,3,3cat
31-08-2026,1,16,ShortGroup,4.00,0.3843,0.1000,0.4842,1,0,Down_270,Down_270,Down_270,1,1,Right_0,1,3,3cat
31-08-2026,1,17,LongGroup,7.00,0.2508,0.0834,0.3343,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,3,3cat
